aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Systemwide,All Modes,Systemwide,Fares,Fare Product,Pay-as-you-go,0.341956889,13360
Reporting Group,Bus,Malden/Everett - South,Vehicles,Cars per Capita,0,0.40150053,3001
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Race and Ethnicity,Race,American Indian or Alaska Native,0.028366541,4402
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.040975652,4412
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Aquarium,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.027716415,4925
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Andrew,Fares,Reduced Fares,Youth Pass,0.001377104,10131
Reporting Group,Bus,66,Fares,Fare Product,7-day Pass,0.314972301,1612
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Back Bay,Fares,Fare Product,Monthly Pass,0.381345597,8571
Service Mode,Rapid Transit or Bus Rapid Transit,All Rapid Transit or Bus Rapid Transit,Other Demographics,Age,26 to 34,0.346402187,13300
Reporting Group,Bus,67 & 77,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.005933015,1741
Reporting Group,Commuter Rail,Needham Line,Income,Household Income,100% to 140% of Area Median Income,0.097530557,4631
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Revere Beach,Other Demographics,Age,18 to 25,0.211543563,5533
Service Mode,Bus,All Bus,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.549139999,12803
Reporting Group,Bus,Cambridge/Arlington - Harvard,Alternative Modes,Alternative Mode,"Bike, Scooter, or Other Micromobility",0.104225105,2460
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Race and Ethnicity,Title VI Minority,No,0.514237078,2358
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Savin Hill,Fares,Reduced Fares,Student (S-Card or M7),0.096140254,11668
Reporting Group,Bus,23,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.012114249,903
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.042896925,12381
Reporting Group,Bus,16,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.10254283,609
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Revere Beach,Other Demographics,Age,Under 18,0.017837011,5532
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - East,Other Demographics,Age,45 to 64,0.1182139,3575
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL1,Other Demographics,Ability to Understand English,Never,0.003698424,12354
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Kenmore,Income,Household Income,Prefer not to say,0.118243091,7568
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Haymarket,Alternative Modes,Used Alternative Mode,Yes,0.097571105,6880
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Union Square,Fares,Fare Product,Semester Pass,0.015985135,8016
Reporting Group,Bus,Quincy - West,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.124589388,3326
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Orient Heights,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.066195478,5392
Reporting Group,Bus,Quincy - East,Alternative Modes,Used Alternative Mode,No,0.865762479,3112
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Downtown Crossing,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.540107958,11166
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Race and Ethnicity,Race,Middle Eastern or North African,0.049790094,8614
Reporting Group,Bus,Chelsea/East Boston/Lynn/Revere - Core,Alternative Modes,Used Alternative Mode,No,0.907727338,2445
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,North Station,Other Demographics,Gender,Woman,0.552223552,9444
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Braintree,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.484888638,10727
Reporting Group,Bus,Malden/Everett - North,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.082591737,3078
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Downtown Crossing,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.230475217,8970
Service Mode,Ferry,All Ferry,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.064356721,12869
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Charles/MGH,Fares,Fare Product,7-day Pass,0.10060428,10456
Reporting Group,Bus,Quincy - West,Alternative Modes,Used Alternative Mode,No,0.907226741,2925
Reporting Group,Commuter Rail,Fairmount Line,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.141206261,3878
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.226701144,4421
Reporting Group,Bus,21,Fares,Reduced Fares,Student (S-Card or M7),0.098647264,456
Reporting Group,Bus,47,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.017205207,1227
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Race and Ethnicity,Race,Middle Eastern or North African,0.03817233,7757
Reporting Group,Bus,57,Access Mode,Access to First MBTA Service,Walked,0.940260854,1324
Reporting Group,Bus,21,Race and Ethnicity,Race,Asian,0.035454304,519
Reporting Group,Commuter Rail,Lowell Line,Vehicles,Cars per Capita,0,0.171842377,4605
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Mattapan Trolley,All Mattapan Trolley,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.331316925,12753
Reporting Group,Bus,Jamaica Plain/Roslindale/Hyde Park,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.040530844,3155
Reporting Group,Bus,11,Race and Ethnicity,Title VI Minority,No,0.522858531,114
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Shawmut,Other Demographics,Age,65 or older,0.030810051,11779
Reporting Group,Bus,Malden/Everett - South,Income,Title VI Low-Income,No,0.143563915,3028
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Griggs Street to Warren Street,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.110544074,6819
Reporting Group,Bus,71,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.054363725,1845
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Tufts Medical Center,Fares,Reduced Fares,Student (S-Card or M7),0.030458386,10157
Reporting Group,Bus,Jamaica Plain/Roslindale/Hyde Park,Fares,Fare Product,Monthly Pass,0.414579754,2821
Reporting Group,Commuter Rail,Newburyport/Rockport Line,Income,Household Income,80% to 100% of Area Median Income,0.139650077,4510
Reporting Group,Bus,104,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.108552478,36
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Haymarket,Vehicles,Cars per Capita,0,0.405001586,7181
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,South Station,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.553240059,12103
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Green Line,All Green Line,Income,Household Income,Prefer not to say,0.107856795,12471
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wood Island,Alternative Modes,Used Alternative Mode,Yes,0.094335732,5829
