X,Y,FID,Brf_Status,FID_,Field1,Stop_ID,Stop_Name,Longitude,Latitude,Municip,PATI_Prgrm,Brf_Stat_1,Routes,Bus_Ctgry,Trash17,BikeRks17,Trees17,Hydrants17,UtPoles17,LtPoles17,NewsBxs17,MailBxs17,Planters17,BlkdPath17,SeatNum17,SeatType17,SeatCond17,Stop_ID_1,Program,PATI_Prior
-7900298.84324638,5230949.71088051,240,Compliant,4702,4286,6759,Boston St opp Kirtland St,-70.969592,42.465391,Lynn,PATI Future,In progress,429,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,6759,PATI Phase 2,Stop Eliminated
-7923950.67281624,5223996.66201313,133,In progress,4429,4013,6203,Park Ave @ Florence Ave,-71.18206,42.419298,Arlington,PATI Future,In progress,627,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,6203,PATI Phase 2,High
-7904136.13741351,5219598.60664377,1371,Other,4463,4047,6292,Orient Ave @ Selma St,-71.004063,42.390125,Boston, , ,120,Local Bus,1,0,0,0,1,0,0,0,0,No,0, , ,6292,PATI Phase 2,High
-7898225.74036934,5201814.81867913,5453,Other,2960,2159,3265,Sea St @ Fensmere Ave,-70.950969,42.272024,Quincy, , ,"216, 214216",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3265,Unprogrammed,Medium
-7902120.03011575,5218296.15080468,6098,Other,6119,6917,109868,Main St @ Hermon St,-70.985952,42.381483,Winthrop, , ,"712, 713",Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,109868,Unprogrammed,Medium
-7931605.89155911,5220656.28688826,6482,Other,6033,6832,89609,Totten Pond Rd @ Winter St,-71.250828,42.397142,Waltham, , ,61,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,89609,Unprogrammed,Medium
-7908101.67163404,5211383.11449368,438,Other,833,32,43,E Broadway @ I St,-71.039686,42.335594,Boston, , ,"9, 10",Local Bus,0,0,1,0,0,1,0,0,0,No,0, , ,43,Unprogrammed,Low
-7934631.77795785,5234122.24083943,1040,Other,4856,4850,7886,South Rd @ Railroad Ave,-71.27801,42.486411,Bedford, , ,627,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,7886,Unprogrammed,Medium
-7893792.77560697,5237554.21044738,5708,Other,3760,2959,4462,Highland Ave @ Cherry Hill Ave,-70.911147,42.509142,Salem, , ,"450, 456",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,4462,Unprogrammed,Medium
-7898540.66320879,5233023.50720444,5065,Other,4065,4464,7255,Chestnut St opp Allerton St,-70.953798,42.479132,Lynn, , ,"435, 436",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,7255,Unprogrammed,Medium
-7917240.77918918,5216947.76588474,3905,Compliant,6809,6193,32549,Eliot St @ Bennett St,-71.121784,42.372535,Cambridge, ,Compliant,"66, 71, 74, 75, 77, 78, 86, 96",Key Bus,2,3,0,0,0,0,0,0,0,No,0,Wood Bench,Good,32549,Unprogrammed,Compliant
-7907417.27940464,5198117.42459884,5720,Other,3078,2276,3402,Willard St @ California Ave,-71.033538,42.247442,Quincy, , ,215,Local Bus,0,0,1,0,0,0,0,0,0,Yes,0, , ,3402,Unprogrammed,Medium
-7907448.67150105,5226299.24676544,5762,Other,5705,5304,9018,Salem St opp Wescott St,-71.03382,42.434566,Malden, , ,108,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,9018,Unprogrammed,Medium
-7897872.18966657,5197387.95287734,6768,Other,2424,2423,3660,Sea St @ Pearl St,-70.947793,42.242591,Weymouth, , ,222,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3660,Unprogrammed,Medium
-7926698.03784902,5213412.55820366,4326,Other,6522,6704,81651,Walnut St @ Washington Pk,-71.20674,42.349069,Newton, , ,59,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,81651,Unprogrammed,Medium
-7895573.88745965,5198198.02932709,3387,Other,3197,2395,3608,Lincoln St opp Beal St,-70.927147,42.247978,Hingham, , ,220,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,3608,Unprogrammed,Medium
-7909358.91396306,5210943.24568012,536,Other,967,166,258,E 8th St @ Dorchester St,-71.05098,42.332673,Boston, , ,11,Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,258,Unprogrammed,Medium
-7915335.54610426,5216670.81922981,3802,Other,629,1428,2221,Broadway @ Lee St,-71.104669,42.370697,Cambridge, , ,68,Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,2221,Unprogrammed,Low
-7919142.89532837,5198321.19347156,2551,Other,4573,4157,6517,Turtle Pond Pkwy @ Bajko Rink,-71.138871,42.248797,Boston, , ,33,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,6517,Unprogrammed,Medium
-7916627.52011441,5221250.21933464,801,In progress,1820,1819,2738,Broadway @ Warner St - Powder House Sq,-71.116275,42.401082,Somerville,PATI Future,In progress,"80, 89, 8993",Local Bus,0,0,0,0,1,0,0,1,0,No,0, , ,2738,PATI Phase 2,High
-7919602.53350586,5210062.5153376,3615,Other,6533,6715,81917,Chestnut Hill Ave @ Channing Rd,-71.143,42.326824,Brookline, , ,51,Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,81917,PATI Phase 2,Medium
-7891822.30930043,5236600.18159479,5833,Other,3551,3948,6115,Loring Ave opp Rainbow Terr,-70.893446,42.502824,Salem, , ,455,Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,6115,Unprogrammed,Medium
-7922637.88206132,5198589.33290853,3255,Other,6403,6586,70618,272 Washington St,-71.170267,42.25058,Dedham, , ,"34E, 34",Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,70618,Unprogrammed,Medium
-7924946.87093935,5207423.37450806,4340,Other,6568,6750,84921,Wheeler Rd @ Meadowbrook Rd,-71.191009,42.309294,Newton, , ,52,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,84921,Unprogrammed,Medium
-7910264.16406219,5189702.05890448,5225,Compliant,6952,6336,42951,Opp 1048 N Main St,-71.059112,42.191457,Randolph, ,Compliant,240,Local Bus,1,0,1,0,0,0,0,1,0,No,0, , ,42951,Unprogrammed,Medium
-7894123.95109207,5233490.66847599,6996,Other,3564,3961,6129,Opp 399 Essex St,-70.914122,42.482227,Swampscott, , ,455,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,6129,Unprogrammed,Medium
-7898646.63936402,5201273.40074441,38,Compliant,6814,6198,32681,Sea St @ Parkhurst St,-70.95475,42.268425,Quincy, ,Compliant,216,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,32681,PATI Phase 2,Compliant
-7919130.87282337,5202520.85966613,1607,Other,1260,459,630,Washington St @ Blue Ledge Dr,-71.138763,42.276717,Boston, , ,"40, 34E, 34",Local Bus,1,0,0,0,0,0,0,0,0,No,0, , ,630,Unprogrammed,Medium
-7929510.97006187,5217596.76893029,6464,Other,6615,6797,86945,Main St @ Appleton St,-71.232009,42.376842,Waltham, , ,70,Local Bus,1,0,0,0,1,1,0,0,0,No,0, , ,86945,Unprogrammed,Medium
-7919528.2834055,5207731.21130368,3608,Other,6323,6506,51917,Clyde St @ Whitney St,-71.142333,42.311339,Brookline, , ,51,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,51917,Unprogrammed,Medium
-7916314.82366477,5198888.31055037,1374,In progress,4515,4099,6399,Milton Ave @ Highland St,-71.113466,42.252568,Boston,PATI Future,In progress,24,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,6399,Unprogrammed,High
-7898392.49696654,5201386.97710428,5461,Other,2963,2162,3268,Sea St opp Macy St,-70.952467,42.26918,Quincy, , ,216,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3268,Unprogrammed,Medium
-7927005.50228259,5186677.74676682,4387,Other,6361,6544,61848,Washington St @ Morse St,-71.209502,42.171325,Norwood, , ,34E,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,61848,Unprogrammed,Medium
-7907361.0630618,5223080.79093685,3930,Other,3257,3655,5587,60 Woodlawn Ave,-71.033033,42.413224,Chelsea, , ,111,Key Bus,0,0,0,0,0,0,0,0,0,No,0, , ,5587,Unprogrammed,Medium
-7925841.32304788,5214152.00131748,4152,Other,4323,4720,7643,Washington St @ Craft St,-71.199044,42.353978,Newton, , ,"553, 554, 556",Local Bus,0,0,0,0,0,1,0,0,0,No,0, , ,7643,Unprogrammed,Medium
-7904643.53165255,5205600.34269056,5188,Other,2865,2064,3145,Huckins Ave @ Bellevue Rd,-71.008621,42.297182,Quincy, , ,211,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3145,Unprogrammed,Medium
-7930344.30776996,5214726.9962875,1546,In progress,4339,4736,7658,River St @ Lexington St,-71.239495,42.357795,Newton,PATI Future,In progress,"553, 554",Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,7658,Unprogrammed,Medium
-7905202.13285735,5188187.37888433,3040,Other,2595,2594,3915,Washington St @ Park Ave,-71.013639,42.181375,Braintree, , ,230,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,3915,Unprogrammed,Medium
-7916459.87296127,5206686.11217244,2182,Other,483,1282,2007,South St @ St Rose St,-71.114769,42.304396,Boston, , ,"38, 39",Key Bus,0,0,0,1,0,1,0,0,0,No,0, , ,2007,Unprogrammed,Low
-7920482.18012211,5232711.67670862,6132,Other,4749,4333,6941,Main St @ Myrtle St,-71.150902,42.477066,Woburn, , ,134,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,6941,Unprogrammed,Medium
-7917991.96311306,5221684.53719956,6732,Other,1742,1741,2635,Broadway @ Dickson St,-71.128532,42.403963,Somerville, , ,"87, 88, 89, 8993",Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,2635,Unprogrammed,Low
-7894968.64338821,5232539.31402791,7013,Other,5509,5898,16132,Essex St opp Burrill St,-70.92171,42.475924,Swampscott, , ,455,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,16132,Unprogrammed,Medium
-7892723.66321738,5239287.65492046,5704,Other,3754,2953,4455,Essex St @ Beckford St,-70.901543,42.52062,Salem, , ,"450, 456",Local Bus,0,0,1,1,1,0,0,0,0,No,0, , ,4455,Unprogrammed,Medium
-7921006.27228476,5204849.97919631,2154,Other,449,1248,1884,Weld St @ Willow St,-71.15561,42.292196,Boston, , ,51,Local Bus,0,0,1,1,0,0,0,0,0,No,0, , ,1884,Unprogrammed,Medium
-7906559.67404757,5196618.09097111,5953,Other,2731,2730,4094,West St @ Trask Ave,-71.025834,42.237471,Quincy, , ,238,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,4094,Unprogrammed,Medium
-7910715.45327787,5222901.81891924,3275,Other,2300,3498,5398,Main St @ Everett St,-71.063166,42.412037,Everett, , ,"99, 105, 106",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,5398,Unprogrammed,Medium
-7915193.72507299,5207629.90254018,2851,Other,6786,6170,31187,Washington St @ Ophir St,-71.103395,42.310666,Boston, , ,42,Local Bus,0,0,0,0,0,1,0,0,0,No,0, , ,31187,Unprogrammed,Medium
-7902516.77278094,5237706.27808637,264,In progress,4123,4520,7340,Lynnfield St opp Lookout Terr,-70.989516,42.510149,Lynn,PATI Future,In progress,436,Local Bus,0,0,0,0,1,0,0,0,0,Yes,0, , ,7340,PATI Phase 2,High
-7892252.55913235,5233415.04564927,7010,Compliant,5433,5822,14868,Salem St @ Tedesco Golf Course,-70.897311,42.481726,Swampscott, ,Compliant,441,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,14868,Unprogrammed,Compliant
-7910628.95803352,5222477.39587207,3277,Other,2302,3500,5400,Main St @ Baldwin Ave,-71.062389,42.409222,Everett, , ,"99, 105, 106",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,5400,Unprogrammed,Medium
-7892451.04178443,5199496.37111399,1434,In progress,3187,2385,3595,Otis St @ Downer Ave,-70.899094,42.256611,Hingham,PATI Future,In progress,220,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,3595,Unprogrammed,High
-7904329.27673004,5197943.13425373,4413,Other,6667,6051,23407,Opp 125 Granite St,-71.005798,42.246283,Quincy, , ,245,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,23407,Unprogrammed,Medium
-7904644.64484746,5184204.87182884,3408,Other,2626,2625,3966,N Franklin St @ Union St,-71.008631,42.154859,Holbrook, , ,230,Local Bus,1,0,1,0,0,0,0,0,0,No,0, , ,3966,Unprogrammed,Medium
-7910942.21108061,5218113.50181167,2261,Other,1915,1914,2864,Bunker Hill St @ Sackville St,-71.065203,42.380271,Boston, , ,"93, 8993",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,2864,Unprogrammed,Medium
-7920907.64321592,5216991.16196012,6582,Other,515,1314,2061,Mt Auburn St opp Keenan St,-71.154724,42.372823,Watertown, , ,71,Key Bus,1,0,0,0,1,0,1,0,0,No,0, , ,2061,Unprogrammed,Low
-7908137.73914905,5181626.9548261,51,In progress,3625,2824,4235,S Main St @ Acorn Dr,-71.04001,42.137689,Randolph,PATI Future,In progress,"238, 240",Local Bus,0,0,0,0,0,0,0,0,0,Yes,0, , ,4235,Unprogrammed,High
-7914183.27805506,5201125.07657966,2482,Other,4497,4081,6368,River St @ Cummings Hwy,-71.094318,42.267439,Boston, , ,"24, 33",Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,6368,Unprogrammed,Low
-7912384.13244486,5212107.94119196,1887,Compliant,1588,787,1232,Tremont St @ W Concord St,-71.078156,42.340407,Boston, ,Compliant,43,Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,1232,Unprogrammed,Compliant
-7898448.15671194,5229612.64719252,3574,Other,3887,3086,4703,Lynnway @ Shepard St,-70.952967,42.45653,Lynn, , ,"439, 441, 442, 441442",Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,4703,Unprogrammed,Medium
-7918003.98561807,5224322.98325103,4627,Other,4482,4066,6317,High St @ Allston St,-71.12864,42.421462,Medford, , ,"94, 95",Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,6317,Unprogrammed,Low
-7920368.96819997,5233050.67588623,6212,Other,6308,6491,50916,Montvale Ave opp Prospect St,-71.149885,42.479312,Woburn, , ,354,Commuter Bus,0,0,0,0,0,0,0,0,0, ,0, , ,50916,Unprogrammed,Medium
-7909662.03693649,5188525.23886605,5190,Compliant,3660,2859,4290,N Main St @ Francis Dr,-71.053703,42.183624,Randolph, ,Compliant,240,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,4290,Unprogrammed,Medium
-7913279.92038727,5210462.8919145,2707,Other,5239,5628,11259,Malcolm X Blvd @ Shawmut Ave,-71.086203,42.329483,Boston, , ,"15, 19, 23, 28, 44, 45, 66",Key Bus,1,0,1,1,0,2,0,0,0,Yes,0, , ,11259,Unprogrammed,Medium
-7909898.9248129,5217402.68116277,2747,Other,5331,5720,12838,Chelsea St @ Fifth St,-71.055831,42.375554,Boston, , ,"93, 8993",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,12838,Unprogrammed,Medium
-7915011.0497886,5216292.62986921,3850,Other,1610,1609,2447,Prospect St @ Harvard St,-71.101754,42.368187,Cambridge, , ,"64, 83, 91",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,2447,Unprogrammed,Low
-7909143.62206787,5223530.87454414,3266,Other,2261,3459,5353,Ferry St @ Walnut St - Glendale Towers,-71.049046,42.416209,Everett, , ,104,Local Bus,1,0,0,0,0,0,0,0,0,No,0, , ,5353,Unprogrammed,Medium
-7906498.78228611,5196860.77116589,5954,Other,2733,2732,4096,West St @ Doble St,-71.025287,42.239085,Quincy, , ,238,Local Bus,0,0,0,0,1,0,0,0,0,No,0, , ,4096,Unprogrammed,Medium
-7910768.10739701,5204265.65181715,586,Other,1022,221,332,Dorchester Ave @ Banton St,-71.063639,42.288313,Boston, , ,"15, 18, 215",Key Bus,0,0,0,0,0,0,0,0,0, ,0, , ,332,Unprogrammed,Low
-7911241.21523289,5201591.41798019,4833,Other,3112,2310,3474,Adams St @ Eliot St,-71.067889,42.270539,Milton, , ,217,Commuter Bus,0,0,0,0,0,0,0,0,0,No,0, , ,3474,Unprogrammed,Medium
-7911735.25113303,5218633.27705857,2742,Other,5326,5715,12821,Main St opp Schraffts Bldg,-71.072327,42.38372,Boston, , ,"92, 93, 8993",Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,12821,Unprogrammed,Medium
-7924327.82325105,5215060.37981398,6486,Other,1377,576,902,Galen St @ Boyd St,-71.185448,42.360008,Watertown, , ,"52, 57, 504",Key Bus,0,0,1,0,0,0,0,0,0,No,0, , ,902,Unprogrammed,Medium
-7930195.58493025,5215952.72435866,6466,Other,6617,6799,86964,Moody St @ Ash St,-71.238159,42.365931,Waltham, , ,"505, 553, 554",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,86964,Unprogrammed,Medium
-7908915.19447276,5204243.98288772,2304,Other,2815,2014,3073,Neponset Ave @ Tolman St,-71.046994,42.288169,Boston, , ,"201, 210",Local Bus,1,0,1,0,0,1,0,0,0,No,0, , ,3073,Unprogrammed,Medium
-7900735.1043308,5199750.25507875,5526,In progress,2985,2184,3297,Palmer St @ Chesley Rd,-70.973511,42.258299,Quincy,PATI Future,In progress,"216, 214216",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3297,Unprogrammed,Critical
-7904904.46453897,5228434.93245326,6513,Other,4278,4675,7566,Essex St opp Staaf Rd,-71.010965,42.448724,Saugus, , ,"429, 430",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,7566,Unprogrammed,Medium
-7923622.2803184,5214161.19011629,1540,In progress,1385,584,906,Tremont St @ Waverley Ave,-71.17911,42.354039,Newton,PATI Future,In progress,"57, 501",Key Bus,0,0,3,0,1,0,0,0,0,No,0, , ,906,Unprogrammed,High
-7925168.50804552,5224013.55082118,971,Other,1644,1643,2489,Appleton St @ Ortona St,-71.193,42.41941,Arlington, , ,78,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,2489,Unprogrammed,Medium
-7922393.98105699,5203080.70494663,2958,Other,6578,6760,85567,Baker St @ Cutter Rd,-71.168076,42.280438,Boston, , ,52,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,85567,Unprogrammed,Medium
-7913800.00504826,5222755.86952007,4702,Other,6223,6406,49164,400 Riverside Ave opp Linden St,-71.090875,42.411069,Medford, , ,134,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,49164,Unprogrammed,Medium
-7917110.31274598,5211459.01313071,3150,Other,94,893,1369,Harvard St @ Aspinwall Ave,-71.120612,42.336098,Brookline, , ,66,Key Bus,0,1,2,1,0,1,0,0,0,No,1, , ,1369,Unprogrammed,Low
