Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
December,2019,Sunday,126028.0,29539.0,109341.0,12125.0,,69950.0,153895.0,69950.0,,65833.0,,58523.0,16687.0,2760.0,
December,2019,Total,290274.0,52468.0,251247.0,86452.0,4539.0,129404.0,373397.0,129404.0,,148636.0,3113.0,172293.0,29382.0,3090.0,6532.0
December,2019,Weekday,360793.0,62426.0,309643.0,120870.0,4452.0,155585.0,473452.0,155585.0,,185520.0,7096.0,225506.0,35230.0,5234.0,8823.0
December,2020,Saturday,95225.0,13879.0,83886.0,3892.0,,25391.0,70323.0,25391.0,,25036.0,,31409.0,9681.0,,1659.0
December,2020,Sunday,78827.0,12182.0,68779.0,3600.0,,21742.0,60297.0,21742.0,,20571.0,,27544.0,10048.0,866.0,
December,2020,Total,132433.0,18068.0,116954.0,10559.0,254.0,32772.0,102237.0,32772.0,,39363.0,1101.0,44807.0,11969.0,1924.0,2409.0
December,2020,Weekday,155421.0,20515.0,137042.0,13353.0,358.0,37301.0,119238.0,37301.0,,46746.0,2007.0,51976.0,13279.0,2021.0,3093.0
December,2021,Saturday,166966.0,22314.0,144265.0,15664.0,,58391.0,127984.0,58391.0,,52591.0,939.0,53080.0,18817.0,1443.0,2946.0
December,2021,Sunday,103049.0,20200.0,88033.0,13479.0,,49880.0,112309.0,49880.0,,45067.0,558.0,47042.0,14458.0,1232.0,
December,2021,Total,195910.0,31493.0,171773.0,36819.0,1053.0,77050.0,197086.0,77050.0,,79307.0,1459.0,86285.0,19004.0,2432.0,3673.0
December,2021,Weekday,217093.0,34205.0,191120.0,44557.0,1370.0,83309.0,219193.0,83309.0,,87987.0,1707.0,97002.0,19828.0,2812.0,4439.0
December,2022,Saturday,140895.0,28197.0,122360.0,25272.0,,75569.0,143335.0,76397.0,828.0,55577.0,1047.0,59562.0,17488.0,1689.0,
December,2022,Sunday,108012.0,21200.0,91574.0,17742.0,,57430.0,107596.0,57808.0,378.0,41999.0,780.0,44397.0,15658.0,1435.0,
December,2022,Total,208956.0,35359.0,185504.0,56531.0,1624.0,91608.0,211480.0,93951.0,2343.0,79553.0,1712.0,96568.0,21739.0,2690.0,
December,2022,Weekday,252079.0,40380.0,225384.0,73425.0,2322.0,103963.0,252490.0,107094.0,3131.0,94258.0,2129.0,117851.0,24566.0,3296.0,
December,2023,Saturday,168558.0,34124.0,148170.0,40601.0,,57177.0,171158.0,52681.0,1475.0,68880.0,,72037.0,20388.0,1913.0,
December,2023,Sunday,109407.0,24090.0,93034.0,34521.0,,39581.0,118175.0,36530.0,955.0,46564.0,,49084.0,16373.0,1663.0,
December,2023,Total,224864.0,38170.0,200054.0,73059.0,1931.0,62040.0,211226.0,64211.0,2171.0,83342.0,,89713.0,24810.0,2902.0,
December,2023,Weekday,273527.0,43977.0,245200.0,93854.0,2859.0,71174.0,244912.0,65778.0,2738.0,99265.0,,107760.0,28327.0,3604.0,
December,2024,Saturday,165595.0,31824.0,144443.0,31071.0,229.0,67866.0,180597.0,68888.0,1023.0,73169.0,,75604.0,21152.0,2009.0,
December,2024,Sunday,113369.0,23138.0,93146.0,27910.0,194.0,46748.0,124496.0,47568.0,820.0,48086.0,,53272.0,20224.0,1855.0,
December,2024,Total,233141.0,37782.0,206141.0,72128.0,2250.0,71698.0,224229.0,73625.0,1927.0,90006.0,,96441.0,27000.0,3174.0,
December,2024,Weekday,280227.0,43101.0,250177.0,92905.0,3232.0,79557.0,261035.0,81972.0,2415.0,105190.0,,112744.0,30049.0,3685.0,
February,2019,Saturday,227205.0,36584.0,195803.0,18623.0,,110248.0,233678.0,110248.0,,93664.0,,103430.0,24897.0,2973.0,6506.0
February,2019,Sunday,118598.0,26575.0,102736.0,13951.0,,78750.0,172286.0,78750.0,,66817.0,,78894.0,15862.0,2634.0,
February,2019,Total,307870.0,52668.0,267948.0,85173.0,3360.0,152792.0,412429.0,152792.0,,159951.0,2401.0,199810.0,29548.0,4936.0,7974.0
February,2019,Weekday,382956.0,62536.0,334767.0,122007.0,4615.0,180385.0,510353.0,180385.0,,197391.0,3003.0,250425.0,34478.0,5790.0,10708.0
February,2020,Saturday,193498.0,36118.0,167855.0,17021.0,,94484.0,204771.0,94484.0,,67483.0,,101170.0,20796.0,2874.0,4847.0
February,2020,Sunday,128633.0,27104.0,112285.0,11573.0,,69303.0,144728.0,69303.0,,42045.0,,75578.0,16348.0,2685.0,
February,2020,Total,318800.0,55419.0,276148.0,83310.0,4850.0,141763.0,411801.0,141763.0,,157173.0,3714.0,199208.0,31101.0,3381.0,7837.0
February,2020,Weekday,398032.0,67229.0,344612.0,119345.0,5307.0,171589.0,530519.0,171589.0,,208110.0,5670.0,255179.0,37357.0,5779.0,10392.0
